question,answer,intent
Hello,Hello! Welcome to our college. How can I assist you today?,greeting
Hi,Hi there! How can I help you?,greeting
Good morning,Good morning! What would you like to know about our college?,greeting
Thanks,You're welcome! Glad I could help.,thankyou
Thank you so much,Anytime! Feel free to ask more questions.,thankyou
How do I apply?,You can apply online through the official admissions portal.,admissions
What is the application process?,"Applications are submitted online, then shortlisted for counseling or entrance exam.",admissions
Where can I submit my application form?,The application form can be submitted via the admissions section of our website.,admissions
How do I enroll in a course?,"To enroll, complete the online application and pay the application fee.",admissions
What is the last date for application?,The deadline for applications is June 30th.,admissions
When does the admission process start?,Admissions open in March every year.,admissions
Can I apply offline?,"Yes, you may collect and submit the form from the admissions office.",admissions
Is there an entrance exam for B.Tech?,"Yes, admission is based on performance in the state/national entrance exam.",admissions
What is the eligibility for B.Tech?,You must pass 12th with PCM subjects and qualify the entrance exam.,admissions
What is the eligibility for MBA?,You need a bachelor’s degree and a valid score in CAT/MAT/XAT.,admissions
Do I need an entrance exam for MBA?,"Yes, MBA admission requires a qualifying score in a recognized management entrance test.",admissions
What documents are required for admission?,"You must submit mark sheets, ID proof, photos, and transfer certificate.",admissions
Which documents are needed for MBA admission?,"Bachelor’s degree certificate, entrance test scorecard, ID proof, and passport photos.",admissions
Is there an application fee?,"Yes, the application fee is ₹1000, payable online or at the admissions office.",admissions
How much is the admission form fee?,The admission form costs ₹1000 for UG and ₹1500 for PG programs.,admissions
How can I pay the application fee?,"You can pay online via net banking, debit/credit card, or UPI.",admissions
Can international students apply?,"Yes, international students are welcome and must provide passport and visa details.",admissions
What is the eligibility for foreign students?,International applicants must have equivalent qualifications and valid visa documents.,admissions
Can I apply for more than one course?,"Yes, you can apply for multiple courses but must submit separate applications.",admissions
Is there any reservation policy?,"Yes, reservations follow government norms for SC/ST/OBC and other categories.",admissions
Does the college offer scholarships at admission?,"Yes, scholarships are available for meritorious and economically weaker students.",admissions
How do I apply for a scholarship during admission?,You can apply for scholarships through the admissions portal after completing your application.,admissions
Can I update my application after submission?,"Yes, you can edit certain details before the application deadline.",admissions
What happens after I apply?,You will receive an acknowledgment email and updates via the portal.,admissions
How will I know if I am shortlisted?,Shortlisted candidates will receive email notifications and SMS alerts.,admissions
When will the merit list be released?,The merit list is usually published in July on the website.,admissions
How is admission confirmed?,Admission is confirmed after document verification and fee payment.,admissions
Can I defer my admission?,"Yes, you may request admission deferment by writing to the registrar.",admissions
What if I miss the admission deadline?,"Late applications may be considered with a late fee, subject to availability.",admissions
Is hostel allotment part of admission?,"Yes, hostel accommodation can be applied during the admission process.",admissions
Do parents need to be present during admission?,"Parents are not mandatory, but they may accompany students for verification.",admissions
How do I check my admission status?,You can check your application status through the online portal.,admissions
What courses are offered?,"We offer B.Tech, B.Com, MBA, MCA, and M.Sc programs.",courses
Which undergraduate courses are available?,"Undergraduate courses include B.Tech, B.Com, and BBA.",courses
Which postgraduate courses are available?,"Postgraduate options include MBA, MCA, and M.Sc in Computer Science.",courses
What is the duration of B.Tech?,"The B.Tech program is 4 years long, divided into 8 semesters.",courses
How many years is MBA?,MBA is a 2-year full-time program.,courses
What is the course length of B.Com?,B.Com is a 3-year undergraduate program.,courses
How long does MCA take to complete?,The MCA program is 3 years in duration.,courses
What is the syllabus for B.Tech?,"The B.Tech syllabus covers core engineering subjects, electives, and final year projects.",courses
Can you tell me the B.Com syllabus?,"The B.Com syllabus includes accounting, business law, finance, and economics.",courses
What subjects are taught in MBA?,"MBA covers management, finance, marketing, operations, and HR specializations.",courses
